,Title,Title_link
88,Exercise 9: Solution - Shoutouts to Everyone | Python Tutorial - Day #88,https://www.youtube.com/watch?v=C9VP-56RXNM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=88&pp=iAQB
89,Requests Module in Python | Python Tutorial - Day #89,https://www.youtube.com/watch?v=Nsb3bLIlO4w&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=89&pp=iAQB
90,Exercise 10: News App in Python | Python Tutorial - Day #90,https://www.youtube.com/watch?v=BGzFp9mwFQ4&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=90&pp=iAQB
91,Generators in Python | Python Tutorial - Day #91,https://www.youtube.com/watch?v=ixd-u3pmsUc&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=91&pp=iAQB
92,Function Caching in Python | Python Tutorial - Day #92,https://www.youtube.com/watch?v=K8gjSwc3Rlo&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=92&pp=iAQB
93,Exercise 10 - News App Solution & Shoutout | Python Tutorial - Day #93,https://www.youtube.com/watch?v=bnAz7Kb2efE&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=93&pp=iAQB
94,Exercise 11 - Drink Water Reminder | Python Tutorial - Day #94,https://www.youtube.com/watch?v=1i4piFhpnm8&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=94&pp=iAQB
95,Regular Expressions in Python | Python Tutorial - Day #95,https://www.youtube.com/watch?v=TCWOwavqFrw&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=95&pp=iAQB
96,AsyncIO in Python | Python Tutorial - Day #96,https://www.youtube.com/watch?v=lgoB3_-ejnI&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=96&pp=iAQB
97,Multithreading in Python | Python Tutorial - Day #97,https://www.youtube.com/watch?v=ICbU6zAKtqQ&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=97&pp=iAQB
98,MultiProcessing in Python | Python Tutorial - Day #98,https://www.youtube.com/watch?v=zGe-9LfnAaA&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=98&pp=iAQB
99,Exercise 11: Solution + Shoutouts - Desktop Notification System | Python Tutorial - Day #99,https://www.youtube.com/watch?v=18vZnLqXMoM&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=99&pp=iAQB
100,Conclusion and Where to go from here | Python Tutorial - Day #100,https://www.youtube.com/watch?v=5Pz8WGiMJ_c&list=PLu0W_9lII9agwh1XjRt242xIpHhPT2llg&index=100&pp=iAQB
